sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;>50K
Female;*;White;Divorced;Assoc-acdm;England;*;Exec-managerial;<=50K
Male;*;Black;Never-married;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;>50K
Female;*;White;Never-married;Masters;United-States;*;Prof-specialty;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Tech-support;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;>50K
Male;*;White;Never-married;11th;United-States;*;Handlers-cleaners;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Handlers-cleaners;<=50K
Male;*;White;Never-married;Bachelors;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;Prof-school;United-States;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;HS-grad;Canada;*;Other-service;>50K
Female;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;9th;United-States;*;Handlers-cleaners;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;<=50K
Male;*;Black;Married-civ-spouse;Assoc-voc;United-States;*;Craft-repair;>50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;<=50K
Male;*;Black;Never-married;Bachelors;Germany;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;>50K
Male;*;Black;Never-married;Some-college;United-States;*;Other-service;<=50K
Female;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;>50K
Female;*;White;Never-married;Some-college;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;Assoc-acdm;United-States;*;Adm-clerical;>50K
Male;*;White;Divorced;Some-college;United-States;*;Craft-repair;<=50K
Female;*;White;Never-married;Assoc-acdm;United-States;*;Sales;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Sales;<=50K
Female;*;Black;Divorced;Assoc-acdm;United-States;*;Tech-support;<=50K
Male;*;White;Married-civ-spouse;Masters;Iran;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Female;*;White;Married-civ-spouse;Assoc-voc;United-States;*;Adm-clerical;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Sales;<=50K
Male;*;Asian-Pac-Islander;Married-civ-spouse;Some-college;United-States;*;Craft-repair;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Sales;<=50K
Male;*;White;Never-married;Some-college;Mexico;*;Other-service;<=50K
Female;*;White;Never-married;Assoc-voc;United-States;*;Prof-specialty;>50K
Male;*;White;Never-married;Some-college;United-States;*;Tech-support;<=50K
Female;*;Black;Never-married;HS-grad;United-States;*;Transport-moving;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Other-service;<=50K
Female;*;White;Widowed;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;11th;United-States;*;Craft-repair;<=50K
Female;*;White;Divorced;Some-college;Mexico;*;Adm-clerical;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Adm-clerical;<=50K
Female;*;Asian-Pac-Islander;Never-married;Bachelors;Philippines;*;Exec-managerial;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Never-married;Bachelors;United-States;*;Handlers-cleaners;<=50K
Male;*;Black;Separated;Some-college;United-States;*;Sales;<=50K
Male;*;White;Divorced;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;Black;Separated;Bachelors;United-States;*;Other-service;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
Female;*;Asian-Pac-Islander;Divorced;Masters;United-States;*;Exec-managerial;<=50K
Female;*;Asian-Pac-Islander;Never-married;HS-grad;England;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Sales;>50K
Female;*;White;Divorced;Some-college;Mexico;*;Other-service;<=50K
Male;*;White;Never-married;Assoc-acdm;United-States;*;Exec-managerial;<=50K
Male;*;White;Widowed;Masters;United-States;*;Protective-serv;<=50K
Male;*;White;Never-married;11th;United-States;*;Handlers-cleaners;<=50K
Female;*;White;Widowed;Assoc-voc;United-States;*;Prof-specialty;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Protective-serv;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;>50K
Male;*;White;Never-married;Bachelors;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;>50K
Female;*;White;Married-spouse-absent;HS-grad;United-States;*;Sales;<=50K
Male;*;Black;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;Black;Never-married;HS-grad;United-States;*;Handlers-cleaners;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;<=50K
Male;*;Black;Married-civ-spouse;Some-college;United-States;*;Exec-managerial;>50K
Female;*;White;Divorced;Some-college;United-States;*;Adm-clerical;<=50K
Male;*;Black;Never-married;Some-college;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;7th-8th;Mexico;*;Machine-op-inspct;>50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Adm-clerical;>50K
Male;*;Black;Married-civ-spouse;HS-grad;United-States;*;Adm-clerical;<=50K
Female;*;White;Divorced;Bachelors;United-States;*;Exec-managerial;<=50K
Female;*;White;Married-civ-spouse;Masters;United-States;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Doctorate;United-States;*;Prof-specialty;>50K
Female;*;Black;Divorced;Some-college;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Machine-op-inspct;<=50K
Male;*;Black;Married-civ-spouse;Bachelors;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Tech-support;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Tech-support;<=50K
Male;*;White;Married-civ-spouse;5th-6th;Mexico;*;Transport-moving;<=50K
Male;*;White;Divorced;Some-college;United-States;*;Craft-repair;<=50K
Female;*;White;Never-married;Masters;United-States;*;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Prof-specialty;>50K
Male;*;White;Never-married;HS-grad;United-States;*;Sales;<=50K
Female;*;White;Never-married;Masters;United-States;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;>50K
Female;*;White;Never-married;Some-college;United-States;*;Prof-specialty;<=50K
Female;*;White;Divorced;HS-grad;United-States;*;Adm-clerical;<=50K
Female;*;White;Never-married;11th;United-States;*;Sales;<=50K
Male;*;Black;Married-civ-spouse;Bachelors;United-States;*;Other-service;>50K
Male;*;White;Divorced;HS-grad;United-States;*;Craft-repair;<=50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;*;Sales;>50K
Female;*;White;Never-married;11th;United-States;*;Sales;<=50K
Male;*;Black;Married-civ-spouse;HS-grad;United-States;*;Transport-moving;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;>50K
Female;*;Amer-Indian-Eskimo;Never-married;Some-college;United-States;*;Sales;<=50K
Male;*;Asian-Pac-Islander;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;7th-8th;United-States;*;Machine-op-inspct;>50K
Male;*;Black;Never-married;Bachelors;United-States;*;Exec-managerial;>50K
Female;*;White;Divorced;Assoc-acdm;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;Bachelors;Poland;*;Sales;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;<=50K
Male;*;White;Never-married;10th;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Handlers-cleaners;<=50K
Male;*;Black;Never-married;HS-grad;United-States;*;Other-service;<=50K
Male;*;Black;Married-civ-spouse;HS-grad;United-States;*;Adm-clerical;<=50K
Female;*;White;Never-married;Preschool;United-States;*;Machine-op-inspct;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Farming-fishing;<=50K
Female;*;White;Widowed;Assoc-voc;Columbia;*;Adm-clerical;<=50K
Female;*;White;Divorced;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;Black;Separated;11th;United-States;*;Transport-moving;<=50K
Female;*;Black;Divorced;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Adm-clerical;<=50K
Female;*;Other;Divorced;Some-college;United-States;*;Craft-repair;<=50K
Male;*;White;Never-married;Prof-school;United-States;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Other-service;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;Bachelors;Iran;*;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Exec-managerial;>50K
Male;*;White;Never-married;HS-grad;United-States;*;Transport-moving;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;>50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Assoc-acdm;United-States;*;Protective-serv;<=50K
Male;*;White;Divorced;Some-college;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Adm-clerical;>50K
Female;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Assoc-acdm;United-States;*;Tech-support;>50K
Female;*;White;Married-civ-spouse;Prof-school;United-States;*;Prof-specialty;>50K
Female;*;Black;Married-civ-spouse;Bachelors;United-States;*;Adm-clerical;<=50K
Female;*;Black;Widowed;10th;United-States;*;Other-service;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Adm-clerical;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Transport-moving;<=50K
Male;*;Asian-Pac-Islander;Married-civ-spouse;HS-grad;Cambodia;*;Farming-fishing;>50K
Female;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
Female;*;White;Separated;HS-grad;United-States;*;Other-service;<=50K
Female;*;White;Widowed;Assoc-voc;United-States;*;Exec-managerial;<=50K
Male;*;White;Divorced;7th-8th;United-States;*;Craft-repair;<=50K
Female;*;White;Divorced;Bachelors;United-States;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Never-married;11th;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;11th;United-States;*;Craft-repair;<=50K
Male;*;Asian-Pac-Islander;Married-civ-spouse;Some-college;Thailand;*;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Exec-managerial;>50K
Female;*;White;Never-married;Bachelors;United-States;*;Prof-specialty;<=50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Exec-managerial;>50K
Male;*;White;Never-married;9th;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Farming-fishing;<=50K
Male;*;White;Never-married;Masters;United-States;*;Prof-specialty;<=50K
Female;*;White;Divorced;HS-grad;United-States;*;Prof-specialty;<=50K
Male;*;Black;Married-civ-spouse;HS-grad;United-States;*;Handlers-cleaners;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Craft-repair;>50K
Female;*;White;Never-married;Some-college;United-States;*;Exec-managerial;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Tech-support;<=50K
Female;*;White;Married-civ-spouse;Some-college;United-States;*;Machine-op-inspct;>50K
Female;*;White;Never-married;Bachelors;Germany;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Craft-repair;>50K
Female;*;Black;Divorced;Assoc-acdm;United-States;*;Sales;<=50K
Female;*;White;Divorced;Bachelors;United-States;*;Prof-specialty;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Handlers-cleaners;<=50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Sales;>50K
Male;*;White;Married-civ-spouse;Prof-school;United-States;*;Prof-specialty;>50K
Male;*;White;Divorced;Some-college;United-States;*;Other-service;<=50K
Female;*;White;Never-married;Bachelors;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;7th-8th;Ecuador;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Prof-specialty;<=50K
Female;*;White;Divorced;HS-grad;United-States;*;Prof-specialty;<=50K
Male;*;White;Never-married;Bachelors;United-States;*;Protective-serv;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Sales;<=50K
Female;*;Black;Never-married;Bachelors;United-States;*;Tech-support;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Transport-moving;<=50K
Female;*;White;Divorced;Bachelors;United-States;*;Sales;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Divorced;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Adm-clerical;>50K
Female;*;Asian-Pac-Islander;Never-married;Some-college;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Transport-moving;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Sales;>50K
Female;*;Asian-Pac-Islander;Married-civ-spouse;Some-college;Laos;*;Adm-clerical;<=50K
Female;*;White;Divorced;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;White;Never-married;Assoc-acdm;United-States;*;Tech-support;<=50K
Female;*;White;Never-married;Assoc-acdm;United-States;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Assoc-acdm;United-States;*;Adm-clerical;>50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Farming-fishing;>50K
Male;*;White;Never-married;Bachelors;United-States;*;Sales;<=50K
Male;*;Asian-Pac-Islander;Married-civ-spouse;Masters;Taiwan;*;Exec-managerial;>50K
Female;*;Black;Divorced;Bachelors;United-States;*;Prof-specialty;>50K
Male;*;White;Never-married;Some-college;United-States;*;Sales;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;<=50K
Female;*;White;Married-civ-spouse;5th-6th;Mexico;*;Machine-op-inspct;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Tech-support;<=50K
Female;*;White;Widowed;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Craft-repair;<=50K
Male;*;White;Divorced;HS-grad;United-States;*;Transport-moving;<=50K
Female;*;White;Never-married;11th;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Farming-fishing;<=50K
Female;*;White;Married-civ-spouse;Some-college;United-States;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Handlers-cleaners;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Transport-moving;<=50K
Male;*;Black;Never-married;Some-college;United-States;*;Craft-repair;<=50K
Male;*;White;Never-married;Bachelors;United-States;*;Adm-clerical;<=50K
Male;*;White;Never-married;Assoc-voc;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;10th;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Transport-moving;<=50K
Male;*;White;Never-married;5th-6th;Mexico;*;Other-service;<=50K
Male;*;White;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Never-married;Masters;United-States;*;Prof-specialty;<=50K
Male;*;Black;Never-married;HS-grad;Haiti;*;Sales;<=50K
Male;*;Black;Married-civ-spouse;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Never-married;Assoc-acdm;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;Assoc-voc;United-States;*;Craft-repair;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Protective-serv;>50K
Male;*;White;Never-married;HS-grad;United-States;*;Farming-fishing;<=50K
Female;*;Black;Never-married;Some-college;United-States;*;Protective-serv;<=50K
Male;*;White;Never-married;Bachelors;United-States;*;Sales;<=50K
Male;*;White;Married-spouse-absent;Assoc-acdm;Iran;*;Other-service;<=50K
Male;*;White;Never-married;Bachelors;United-States;*;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;11th;United-States;*;Transport-moving;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Adm-clerical;>50K
Male;*;Other;Widowed;11th;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Assoc-voc;United-States;*;Tech-support;>50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;9th;Portugal;*;Craft-repair;<=50K
Female;*;White;Married-civ-spouse;10th;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Masters;United-States;*;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;*;Transport-moving;<=50K
Male;*;White;Divorced;Bachelors;United-States;*;Exec-managerial;>50K
Male;*;White;Married-spouse-absent;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Sales;<=50K
Female;*;White;Never-married;Assoc-acdm;United-States;*;Sales;<=50K
Female;*;White;Divorced;Bachelors;United-States;*;Exec-managerial;>50K
Female;*;White;Divorced;HS-grad;United-States;*;Sales;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Adm-clerical;<=50K
Male;*;White;Never-married;11th;United-States;*;Other-service;<=50K
Male;*;White;Married-civ-spouse;Assoc-voc;United-States;*;Machine-op-inspct;>50K
Male;*;Black;Married-civ-spouse;HS-grad;United-States;*;Machine-op-inspct;<=50K
Male;*;Black;Never-married;HS-grad;United-States;*;Craft-repair;<=50K
Female;*;White;Never-married;Some-college;United-States;*;Adm-clerical;<=50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;*;Craft-repair;<=50K
Male;*;White;Never-married;Some-college;United-States;*;Sales;<=50K
Male;*;White;Divorced;Masters;United-States;*;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;HS-grad;United-States;*;Sales;<=50K
Male;*;White;Divorced;HS-grad;United-States;*;Transport-moving;<=50K
Female;*;White;Divorced;5th-6th;United-States;*;Craft-repair;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;*;Craft-repair;<=50K
Female;*;White;Divorced;Some-college;United-States;*;Sales;<=50K
Female;*;White;Married-civ-spouse;Some-college;United-States;*;Transport-moving;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
Male;*;White;Separated;HS-grad;United-States;*;Machine-op-inspct;<=50K
Female;*;White;Married-civ-spouse;Some-college;United-States;*;Adm-clerical;>50K
Female;*;White;Never-married;Some-college;United-States;*;Adm-clerical;<=50K
Female;*;White;Never-married;HS-grad;United-States;*;Other-service;<=50K
